행정동_코드,행정동_명,lat,lng,영역_면적
11140520,소공동,37.564255512847375,126.97437453532754,943795
11110515,청운효자동,37.584418720515885,126.96990686761751,2568432
11110530,사직동,37.57388621927961,126.9703752314623,1158536
11110540,삼청동,37.58836740902573,126.98120495146988,1479255
11110550,부암동,37.59695874002611,126.96354926751047,2274739
11110560,평창동,37.61568263364914,126.96812734517589,8947328
11110570,무악동,37.577108233656,126.95858919704753,369520
11110580,교남동,37.57106436845543,126.96411655616335,346926
11110600,가회동,37.582511684291084,126.98655013932952,539955
11110615,종로1?2?3?4가동,37.57518693303824,126.98985699099725,2417171
11110630,종로5?6가동,37.572853710116696,127.00440346808996,603167
11110640,이화동,37.57971933130445,127.00302270933423,782395
11110650,혜화동,37.58746788473727,126.99742986464302,1132421
11110670,창신1동,37.5723664484761,127.01379895274418,305337
11110680,창신2동,37.57602485406751,127.01018840445342,257323
11110690,창신3동,37.5789527845504,127.01322280262201,216835
11110700,숭인1동,37.57718636818084,127.01689037280627,239396
11110710,숭인2동,37.57449185020222,127.02034243045807,351906
11140540,회현동,37.556939979505266,126.97710457297553,897827
11140550,명동,37.56395091134355,126.98430107112212,969729
11140570,필동,37.556869955485794,126.99377534693005,1464686
11140580,장충동,37.555563653364366,127.00216161451516,1017925
11140590,광희동,37.56515922990174,127.00376916205461,737204
11140605,을지로동,37.566618853519614,126.99655901615027,611524
11140615,신당동,37.5656900820627,127.01370717005359,534942
11140625,다산동,37.55494168855172,127.00836345470714,523971
11140635,약수동,37.55014822684117,127.0102867299519,486369
11140645,청구동,37.556878152670386,127.01518815511605,342571
11140650,신당5동,37.56363458123806,127.0218674854035,319706
11140665,동화동,37.560706894007495,127.01865228045584,327045
11140670,황학동,37.568536183530874,127.02085017986909,328640
11140680,중림동,37.557342763110235,126.96603581524248,484384
11290575,동선동,37.59364726779841,127.01851329837635,724957
11290580,돈암1동,37.599754918077274,127.02440331435467,488898
11290590,돈암2동,37.59708092788348,127.01159540593008,518335
11290600,안암동,37.58772606240176,127.02721861973257,1379571
11290610,보문동,37.58282624761276,127.01913329976148,553006
11290620,정릉1동,37.60327909170645,127.01698686701162,412365
11290630,정릉2동,37.60367644346763,127.00850480334412,1094889
11290640,정릉3동,37.61210087867797,126.99458621233279,3327126
11290650,정릉4동,37.62394888586161,126.99490252916794,3570914
11290660,길음1동,37.608225098062775,127.01974004643085,797310
11290685,길음2동,37.60828669338947,127.02715815844054,588002
11290705,종암동,37.59743703440874,127.03386916402484,1404527
11290715,월곡1동,37.60783366466426,127.03654664097249,801757
11290725,월곡2동,37.60322653240499,127.0454002002377,1364901
11290760,장위1동,37.61510185456549,127.0446598787933,708546
11290770,장위2동,37.61235087910522,127.05189551729269,679894
11290780,장위3동,37.618260668448144,127.05345140283231,652601
11290810,석관동,37.60827386641208,127.06136066360749,1705061
11305534,삼양동,37.623803893509766,127.01492989664489,924092
11305535,미아동,37.62864018743246,127.02638390140943,841204
11305545,송중동,37.617673512388606,127.0329835271576,1075796
11305555,송천동,37.61818905650258,127.02490771890918,929913
11305575,삼각산동,37.617163401594155,127.01652563113765,621911
11305595,번1동,37.63755892469418,127.03061306222838,627036
11305603,번2동,37.629484948872644,127.03474467194721,974298
11305608,번3동,37.623689179190066,127.04218425533922,1081177
11215840,자양3동,37.53136850519804,127.07101606905555,1196419
11215847,자양4동,37.53375136428935,127.06361893678418,1180023
11215850,구의1동,37.5415038189961,127.08598440880375,565313
11215860,구의2동,37.5511016720589,127.09485639020177,1388041
11215870,구의3동,37.536956490128944,127.09422748484121,1027561
11230536,용신동,37.57556132503958,127.03245552682627,1618399
11230545,제기동,37.58374995175625,127.03722548288243,1181705
11230560,전농1동,37.57922183565485,127.05095551957609,1126695
11230570,전농2동,37.58069463875391,127.06112292051264,977568
11230600,답십리1동,37.571274662047024,127.05187832254227,788242
11230610,답십리2동,37.570783745453,127.06103558265633,875745
11230650,장안1동,37.566238618581984,127.06852502978793,1342167
11230660,장안2동,37.575642892297,127.07207692830465,996640
11230705,청량리동,37.58883777323814,127.04521030083602,1204398
11305615,수유1동,37.629732905721454,127.01001447423751,1649963
11305625,수유2동,37.64541789161528,127.01936463190101,581617
11305635,수유3동,37.64049777793631,127.0234422357564,745645
